90	1.2
0.000000	0.000000	0.000000
1BRS_r.pdb	29.181	46.629	38.264
1BRS_l.pdb	92.222	58.045	3.191
1.832596	1.977582	0.969896	77	1	14	17.32
-2.094395	1.904882	-1.478089	81	2	14	16.82
-2.356194	2.104282	-0.813972	87	85	17	16.70
1.047198	2.108018	1.311430	81	88	17	15.96
0.785398	1.134497	-1.109631	79	1	12	15.78
1.047198	1.599406	1.426070	78	0	14	15.42
-1.570796	1.606104	-0.451151	85	85	16	15.22
0.261799	2.863997	0.549740	1	84	20	15.18
1.832596	0.203748	0.590255	80	0	15	15.12
-0.261799	2.984978	1.954446	87	86	19	14.90
2.617994	2.719179	-1.780644	79	1	17	14.62
-3.141593	0.290380	-0.796960	79	1	14	14.60
-1.308997	1.184361	0.625864	87	87	17	14.60
1.047198	0.733948	3.021411	82	3	16	14.54
-1.047198	1.045978	0.343692	89	85	18	14.52
2.094395	1.450119	-2.739050	76	8	83	14.34
-2.617994	2.299159	2.264663	14	87	17	14.22
1.047198	2.295480	1.008277	84	87	18	14.20
0.000000	2.760637	2.781135	80	2	15	14.20
1.308997	0.709924	0.218797	82	2	16	14.18
-2.356194	0.733948	3.021411	82	11	79	14.14
-1.832596	1.606104	-0.451151	83	84	15	14.14
-2.617994	1.836682	-0.676006	1	83	18	14.12
0.000000	2.379497	0.561089	16	6	15	14.12
-2.879793	0.866395	-2.492918	83	14	80	14.10
0.523599	0.297065	2.160177	79	88	13	14.04
-2.356194	1.184361	0.625864	81	0	14	14.00
-2.879793	1.909857	-0.381669	81	85	16	13.86
0.261799	2.295480	1.008277	13	6	18	13.86
1.047198	2.664082	-1.071402	79	1	16	13.78
-2.879793	1.506530	1.988858	13	73	0	13.76
1.570796	1.977582	0.969896	76	1	14	13.76
1.047198	1.977582	0.969896	83	88	18	13.76
2.356194	1.113094	-0.272241	81	88	15	13.74
2.879793	1.554776	0.100351	78	9	83	13.72
-2.094395	1.367556	0.358405	79	89	13	13.66
1.832596	2.104282	-0.813972	81	87	17	13.64
0.000000	1.977582	0.969896	80	1	16	13.64
0.261799	1.168678	2.108595	84	86	16	13.54
-2.617994	2.343981	-1.040456	84	86	17	13.52
2.094395	2.588535	-2.976617	78	0	15	13.52
-0.523599	2.393226	1.857173	79	11	85	13.46
-2.617994	0.290380	-0.796960	75	0	10	13.44
0.000000	2.115563	0.685730	82	0	17	13.42
-2.617994	1.510910	-0.740472	2	81	17	13.40
1.832596	1.875281	0.107086	72	2	7	13.40
0.261799	2.115563	0.685730	76	7	11	13.38
-3.141593	1.721184	-0.153948	85	85	18	13.36
0.785398	2.704512	1.488683	87	86	20	13.36
-0.523599	2.984978	1.954446	79	0	16	13.36
-1.308997	1.367556	0.358405	87	85	18	13.34
-1.570796	1.417623	-0.202254	86	84	16	13.32
-2.879793	0.906588	1.252948	87	88	17	13.30
0.261799	1.413347	-1.339188	85	81	17	13.30
0.523599	2.592629	0.909713	89	86	20	13.28
-0.261799	1.440580	2.260026	82	89	15	13.28
0.261799	2.592629	0.909713	15	5	16	13.24
2.617994	1.113094	-0.272241	82	85	16	13.22
1.047198	1.809167	1.213774	79	0	15	13.22
-2.356194	1.335669	0.897240	88	87	18	13.14
1.570796	1.617114	-1.572037	77	11	82	13.14
1.570796	0.685216	-1.712745	81	1	16	13.14
1.047198	1.872854	1.543456	78	88	15	13.12
2.879793	1.721184	-0.153948	84	86	18	13.10
0.000000	1.440580	2.260026	82	87	15	13.10
-2.356194	0.674054	1.013609	20	0	8	13.08
1.308997	0.203748	0.590255	82	0	15	13.08
1.047198	0.709924	0.218797	82	2	16	13.08
0.785398	2.164094	-2.991358	79	13	82	13.04
1.570796	1.809167	1.213774	77	87	14	13.02
-1.308997	1.214854	-1.966664	76	3	77	13.02
-0.785398	1.812176	0.656819	85	86	19	13.02
1.832596	2.588535	-2.976617	77	2	15	13.00
0.785398	2.295480	1.008277	83	88	17	13.00
-3.141593	2.187132	-0.479875	82	87	16	12.96
0.785398	2.108018	1.311430	82	89	17	12.94
0.785398	1.554776	0.100351	79	3	14	12.94
1.832596	2.579248	-2.364801	76	5	15	12.92
1.308997	1.617114	-1.572037	79	13	82	12.90
-1.047198	1.367556	0.358405	86	84	18	12.90
0.523599	2.295480	1.008277	14	7	17	12.90
0.000000	0.591903	2.010408	84	89	17	12.90
0.523599	1.440580	2.260026	85	83	16	12.88
-2.356194	2.041297	-2.664597	11	70	89	12.86
-3.141593	0.929350	-2.910676	17	0	4	12.84
1.308997	1.872854	1.543456	74	7	11	12.82
-0.261799	2.478122	2.609777	79	3	15	12.82
-2.617994	1.872854	1.543456	19	89	11	12.80
1.570796	2.478122	2.609777	78	2	16	12.80
-0.785398	1.977582	0.969896	71	85	4	12.80
-3.141593	1.870545	-2.976234	17	89	7	12.78
0.785398	1.256302	0.062705	79	3	13	12.78
-2.356194	2.587733	0.232235	85	87	19	12.76
2.356194	1.450119	-2.739050	75	5	82	12.76
1.047198	2.637879	2.121598	83	87	19	12.74
-2.094395	1.617114	-1.572037	81	2	16	12.72
1.570796	1.662363	0.915448	75	89	12	12.72
-0.261799	2.115563	0.685730	83	89	17	12.72
2.094395	2.108018	1.311430	78	88	15	12.70
2.617994	2.343981	-1.040456	80	89	17	12.68
-0.523599	1.014500	0.906702	72	1	2	12.68
2.879793	2.393226	1.857173	8	84	19	12.66
1.832596	2.356369	3.005869	77	0	14	12.66
-1.832596	0.419640	2.974122	84	18	82	12.66
-1.308997	1.721184	-0.153948	82	87	15	12.66
-2.879793	2.343981	-1.040456	82	88	17	12.64
2.879793	1.683268	0.374177	2	85	20	12.64
-2.356194	0.866955	-0.931351	78	5	15	12.64
-2.094395	1.335669	0.897240	79	1	13	12.64
-1.832596	2.863997	0.549740	0	85	20	12.64
1.832596	1.872854	1.543456	82	89	18	12.64
-1.308997	1.301460	-0.509251	17	86	13	12.64
-0.523599	2.104282	-0.813972	88	88	19	12.64
0.261799	1.367556	0.358405	81	2	14	12.64
2.879793	2.456751	-1.503343	78	0	16	12.62
-2.879793	1.555207	1.708892	13	73	2	12.62
-1.308997	1.982574	-1.115518	19	87	10	12.62
1.832596	0.458961	-0.107937	83	1	16	12.60
-1.308997	1.504028	0.636812	84	87	17	12.60
0.785398	1.977582	0.969896	82	0	17	12.58
0.261799	2.001437	0.381215	77	6	13	12.58
2.879793	1.433411	-1.035986	78	0	13	12.54
1.047198	2.984978	1.954446	88	85	21	12.54
-0.785398	2.247462	0.191623	75	5	7	12.54
1.308997	1.184361	0.625864	68	86	1	12.52
-0.785398	1.998705	2.370472	80	1	14	12.52
-1.832596	2.180315	-1.357379	83	1	15	12.50
2.356194	2.587733	0.232235	86	86	20	12.48
2.356194	1.872854	1.543456	86	85	19	12.48
-1.832596	1.982574	-1.115518	77	3	11	12.48
-1.832596	1.836682	-0.676006	4	83	19	12.48
-0.261799	1.247695	1.809890	80	14	82	12.48
0.000000	1.875281	0.107086	7	84	19	12.48
0.261799	1.617114	-1.572037	86	80	16	12.44
2.879793	2.104282	-0.813972	81	88	16	12.42
