90	1.2
0.000000	0.000000	0.000000
1BRS_r.pdb	29.181	46.629	38.264
1BRS_l.pdb	92.222	58.045	3.191
1.832596	1.977582	0.969896	77	1	14	17.32
-2.094395	1.904882	-1.478089	81	2	14	16.82
-2.356194	2.104282	-0.813972	87	85	17	16.70
1.047198	2.108018	1.311430	81	88	17	15.96
0.785398	1.134497	-1.109631	79	1	12	15.78
1.047198	1.599406	1.426070	78	0	14	15.42
-1.570796	1.606104	-0.451151	85	85	16	15.22
0.261799	2.863997	0.549740	1	84	20	15.18
1.832596	0.203748	0.590255	80	0	15	15.12
-0.261799	2.984978	1.954446	87	86	19	14.90
