100	1.2
0.000000	0.000000	0.000000
savinase_r.pdb	11.717	15.983	8.021
BASI_l.pdb	65.141	71.197	130.466
0.000000	1.506530	1.988858	88	87	18	17.64
-0.785398	1.413347	-1.339188	82	91	84	17.54
-2.617994	1.869911	2.701025	8	24	0	17.42
-2.094395	2.724429	-0.348782	94	80	90	17.30
-2.356194	1.128190	-2.288622	13	3	24	17.26
-3.141593	1.391910	3.030322	21	14	1	17.18
2.617994	1.766067	2.153843	17	10	15	17.08
0.261799	2.979456	-1.009304	92	26	7	17.06
-0.785398	1.325504	-1.671296	93	87	81	17.02
1.832596	2.089241	-0.114193	7	24	99	17.00
